input,openai,bert,gemini,timestamp
ChatGPT is an advanced AI...,"Yes, this text is most likely written by AI. (AI Probability: 100.0%)...","No, this text is most...",This text is likely AI-generated....,2024-10-10 10:10:48
A shocking incident unfolded at...,"Yes, this text is most likely written by AI. (AI Probability: 100.0%)...",Error communicating with Hugging Face...,Uncertain. The text reads like...,2024-10-10 13:42:07
Octopuses are highly intelligent marine...,"Yes, this text is most likely written by AI. (AI Probability: 100.0%)...","Yes, this text is most...",Unlikely. The text is written...,2024-10-10 13:42:21
“The Greek Atomists reduced everything...,"Yes, this text is most likely written by AI. (AI Probability: 92.41%)...",Error communicating with Hugging Face...,Unlikely. The text exhibits a...,2024-10-10 15:49:27
“The Great Barrier Reef is...,"Yes, this text is most likely written by AI. (AI Probability: 99.97%)...","No, this text is most...",Unlikely. This text sounds like...,2024-10-10 15:49:43
“The Great Barrier Reef is...,"Yes, this text is most likely written by AI. (AI Probability: 99.97%)...","No, this text is most...",Unlikely. The text is factual...,2024-10-10 15:58:12
this is ai gemerated...,"Yes, this text is most likely written by AI. (AI Probability: 97.7%)...","No, this text is most...",Unlikely. The text is very...,2024-10-10 16:00:27
An octopus is a sea...,"No, this text is most likely written by a Human. (AI Probability: 18.24%)...","No, this text is most...",Unlikely. The text is simple...,2024-10-10 16:03:16
An octopus is a sea...,"No, this text is most likely written by a Human. (AI Probability: 22.27%)...",Error communicating with Hugging Face...,Unlikely. The text is well-structured...,2024-10-10 18:28:39
An octopus is a sea...,"No, this text is most likely written by a Human. (AI Probability: 18.24%)...","No, this text is most...",Unlikely. The text reads like...,2024-10-10 18:29:36
